GeneName,log2FoldChange,pvalue,padj
ZNF467,1.3003542429082462,6.079376023491435e-15,9.104859885649556e-14
MDK,1.2995280734995167,1.8186737792249275e-10,1.3197395009243531e-9
SLITRK6,1.2980490574518477,3.108344086415757e-4,7.177408355160304e-4
UGCG,1.2941665409666536,7.359310818932126e-10,4.7649679140762554e-09
P3H4,1.2940572186301367,2.182069127333172e-15,3.514337463870762e-14
KCNK6,1.291911975469777,2.2699673201948843e-12,2.2248456456344356e-11
CBX4,1.2889844427962127,3.686784177499336e-17,7.983880600598226e-16
STMN1,1.2828732005852161,1.0444281431625331e-11,9.315562705480293e-11
SHROOM1,1.2821447816977176,1.543937412400407e-5,4.523143881849456e-5
CREB3L4,1.2810608468685674,1.8173826600291496e-13,2.146699542528289e-12
H2AJ,1.280993653538878,3.1612504861355143e-9,1.8169464577805587e-8
HOXB2,1.2792575476646744,5.928882859617083e-8,2.7275697940295815e-7
EVA1B,1.2732651757908204,1.1932955285972887e-7,5.189674705181715e-7
B4GALNT3,1.2699551634267376,7.552670793515125e-7,2.8366769406112474e-6
TPRN,1.2660477167700979,3.5203184594977536e-11,2.8806691053677364e-10
KAZALD1,1.2658770347511366,9.705512304609894e-10,6.127281734000271e-9
BCAS1,1.2643459681834741,4.665621946318614e-5,1.255631010979624e-4
PYCARD,1.262966160768067,4.2071142503840325e-7,1.6544541315927392e-6
ANXA9,1.2610842851574287,6.45260916754561e-10,4.229164086295231e-9
H2AC6,1.2571949302044103,1.0242911855544786e-9,6.436967156278635e-9
TMEM97,1.2570716402158757,1.968952537170388e-14,2.69238355816621e-13
CRB3,1.2526986193483685,6.150069405620465e-10,4.047427606778971e-9
TPSB2,1.2520677162648006,3.583609516793183e-5,9.872895559875775e-5
TMEM141,1.2503510281251207,1.036429599509317e-12,1.071534473041084e-11
KIF22,1.2460416240395837,2.9734247313300503e-16,5.49797669071893e-15
TRPM2,1.2437567080100125,9.899179495092302e-10,6.233176872646528e-9
OLR1,1.243214745162165,1.4937895707550577e-6,5.3274431464428335e-6
LSM1,1.2428738965586454,1.8563730884439581e-13,2.187380789876061e-12
ASPN,1.2425882857105588,1.2329277207527854e-5,3.678125980464794e-5
SCAND1,1.241950619650246,1.7680035855590242e-9,1.0671283411895805e-8
IRF7,1.2399774611471253,9.81648228613128e-10,6.193272780915503e-9
EVL,1.2391618713297898,8.831784437322078e-9,4.746652172434421e-8
DYNC2I2,1.2379403217052076,6.525982859050156e-14,8.267104768085277e-13
AP1M2,1.237602601238129,1.1010008933053954e-8,5.8037958273746576e-8
ZG16B,1.236354735113723,3.0548102873697783e-6,1.0291520992663076e-5
RNASEH2A,1.2353117661388333,9.617977607734634e-12,8.634626955963446e-11
SLC1A2,1.2339695074323755,2.787725328674718e-5,7.814571147290791e-5
TJP3,1.2319930074917365,1.7401512314134792e-7,7.361000479560319e-7
ANO9,1.2310533814856148,8.766770885472966e-8,3.917244628094102e-7
SLC6A9,1.2276786249952836,4.651731823428904e-9,2.5973520024546407e-8
BCAS4,1.225888506378903,3.914629872666672e-9,2.2153717613708094e-8
CERS4,1.2244289675460958,1.269260638272469e-9,7.823039126275506e-9
C1orf35,1.2242097413004167,1.1179707528001976e-12,1.1521209847989174e-11
STARD3,1.2240423974369123,1.244610876566537e-8,6.475613408109986e-8
HELLS,1.223674559347531,5.016307946438344e-12,4.678157216780279e-11
MLPH,1.2231070029877955,6.453745469223562e-6,2.0331835742655486e-5
TTC39A,1.2230027149355718,2.622323268333978e-7,1.067921991742109e-6
SULF1,1.2213761201730704,3.6596737537452323e-9,2.084583124541493e-8
MED24,1.2213454298839292,6.84996048550172e-12,6.278586279132415e-11
CEACAM5,1.2206404040947894,0.02177589114699668,0.03447072660164193
DIRAS1,1.2165782895954413,4.668635203009558e-7,1.8173654848962306e-6
CCND1,1.2162699481363672,1.6401992783848176e-7,6.968853761232887e-7
TCEAL3,1.2139957456450496,8.904225962041963e-10,5.677329749670655e-9
CACNB3,1.21337253440771,2.9339645763296536e-16,5.435466165974879e-15
SYNE4,1.2077172053521965,3.6495263227860286e-7,1.4470183749933058e-6
MARCKSL1,1.2075770428510118,1.289689467991053e-11,1.1397393598101081e-10
CORO2A,1.2059290250143118,6.333299722609745e-14,8.044210942257952e-13
FEN1,1.2059171160427231,4.362547521391102e-13,4.854848890992528e-12
PKP3,1.2037758086291654,1.2037464089120538e-8,6.283399414597935e-8
FBXO41,1.2032102174337638,4.3501895056178234e-14,5.659955628757155e-13
KCNE4,1.202751073361175,5.143422831408375e-4,0.0011368738051492303
AGR3,1.1997688413886465,0.002530133427498596,0.0048230041446072555
SLC25A22,1.1956143487636983,1.411293736775506e-11,1.241499476587053e-10
STC1,1.1941174575581284,8.00945356914732e-6,2.482620762970712e-5
KCTD6,1.1926437623565742,4.876130942636554e-10,3.271737544553417e-9
MRPL13,1.192276804625253,4.65347204010821e-16,8.231263494199225e-15
ETNK2,1.1919567936182731,1.653592323663882e-8,8.439113690036214e-8
SYT7,1.1919440738381122,2.0413554179723193e-10,1.4647486823734215e-9
MBOAT2,1.1893911956173218,4.485439196862898e-13,4.9743365487700996e-12
RASGRP1,1.1883461417854837,1.7338262428926772e-6,6.084211432632515e-6
